msoa21cd,all_lgb_plus,gay_or_lesbian,bisexual_and_other,all_diff_id,trans_mw,other_id,different_unanswered
E02000001,0.103198401,0.075837081,0.027361319,0.004872564,0.002123938,0.001624188,0.001124438
E02000002,0.011864973,0.004177807,0.007687166,0.009694133,0.004345646,0.00016714,0.005181347
E02000003,0.021250141,0.006668927,0.014581214,0.010625071,0.003617045,0.000452131,0.006555895
E02000004,0.022389464,0.010159925,0.012229539,0.007146887,0.003385368,0.000188076,0.003573444
E02000005,0.022152691,0.007259074,0.014893617,0.012276087,0.007265439,0.000250532,0.004760115
E02000007,0.022502009,0.009241897,0.013260112,0.012186956,0.004285523,0.000669613,0.00723182
E02000008,0.026088722,0.011673942,0.01441478,0.012188928,0.005180295,0.000203149,0.006805485
E02000009,0.020846697,0.006307462,0.014539234,0.009298846,0.004595981,0.000748183,0.003954681
E02000010,0.018942607,0.006644049,0.012298558,0.011871114,0.00353307,0.000141323,0.008196721
E02000011,0.022886674,0.007567368,0.015319306,0.011999262,0.003876685,0.000553812,0.007568765
E02000012,0.016956817,0.00644359,0.010513227,0.009836066,0.004183154,0.000113058,0.005539853
E02000013,0.024547804,0.007895492,0.016652311,0.012776342,0.005167959,0.000574218,0.007034166
E02000014,0.020847344,0.005110962,0.015736382,0.011706136,0.006727664,0.00080732,0.004171152
E02000015,0.024386198,0.00995355,0.014432648,0.010119443,0.003151958,0.000331785,0.0066357
E02000016,0.047738362,0.023605433,0.024132929,0.023084026,0.012003693,0.000659544,0.010420789
E02000017,0.026175812,0.005039194,0.021136618,0.013301596,0.004760571,0.000280034,0.008260991
E02000018,0.024439045,0.007860512,0.016578534,0.011,0.005142857,0.000428571,0.005428571
E02000019,0.016806723,0.006409343,0.010397379,0.008402165,0.002990601,0.000284819,0.005126745
E02000020,0.020066238,0.007890123,0.012176116,0.00974279,0.002727981,0.000584567,0.006430242
E02000021,0.016959799,0.005653266,0.011306533,0.013343799,0.00533752,0.000627943,0.007378336
E02000022,0.033050222,0.010339734,0.022710488,0.014029906,0.006461141,0.000738416,0.006830349
E02000023,0.021405637,0.007135212,0.014270424,0.012665002,0.004102747,0.000713521,0.007848733
E02000024,0.024207105,0.010534574,0.013672532,0.005604125,0.002465815,0.001232907,0.001905402
E02000025,0.025189638,0.011449835,0.013739802,0.005582594,0.002290295,0.00042943,0.002862869
E02000026,0.020130368,0.008627301,0.011503067,0.003835091,0.001917546,0.000575264,0.001342282
E02000027,0.020313106,0.009056799,0.011256308,0.005824489,0.00168263,0.000776598,0.00336526
E02000028,0.025447691,0.012818096,0.012629595,0.008859566,0.00263902,0.000754006,0.005466541
E02000029,0.023799919,0.009412397,0.014387522,0.006721334,0.002957387,0.000940987,0.00282296
E02000030,0.014257939,0.00764744,0.006610499,0.002462416,0.000907206,0.000129601,0.001425609
E02000031,0.022166765,0.011303582,0.010863183,0.003819597,0.002203614,0.00058763,0.001028353
E02000032,0.018062909,0.010744316,0.007318592,0.004825654,0.001089664,0.000311333,0.003424658
E02000033,0.024492652,0.010916725,0.013575927,0.005877414,0.002239015,0.001399384,0.002239015
E02000034,0.022252747,0.011126374,0.011126374,0.006043956,0.002747253,0.000412088,0.002884615
E02000035,0.02740113,0.013700565,0.013700565,0.005506919,0.002259249,0.000423609,0.002824061
E02000036,0.016876662,0.006357647,0.010519015,0.008093421,0.003237368,0.000346861,0.004509192
E02000037,0.014249178,0.006576544,0.007672634,0.008526188,0.005481121,0.000121803,0.002923264
E02000038,0.03285516,0.013072652,0.019782508,0.007059368,0.002430274,0.000578637,0.004050457
E02000039,0.016793353,0.006187025,0.010606328,0.00477538,0.001591793,0.000707464,0.002476123
E02000040,0.023855488,0.011720905,0.012134584,0.003862602,0.001241551,0.001241551,0.001379501
E02000041,0.021613639,0.006175326,0.015438314,0.010202712,0.004027386,0.000671231,0.005504095
E02000042,0.039438716,0.014457319,0.024981397,0.021584264,0.003508772,0.001169591,0.016905901
E02000043,0.028348328,0.016635546,0.011712782,0.003056027,0.000169779,0.001358234,0.001528014
E02000044,0.021818182,0.006545455,0.015272727,0.014109091,0.003490909,0.001163636,0.009454545
E02000045,0.028609367,0.012675036,0.015934331,0.008208595,0.00313858,0.000482859,0.004587156
E02000046,0.044385965,0.020175439,0.024210526,0.009122807,0.002631579,0.001403509,0.005087719
E02000047,0.023692725,0.008767352,0.014925373,0.013881641,0.004696796,0.000626239,0.008558606
